accion,threads,tiempo
Máximo,10,0.357300
Máximo,10,0.639100
Máximo,10,0.380900
Máximo,10,0.538600
Máximo,10,0.408600
Máximo,10,0.535400
Máximo,10,0.383900
Máximo,10,0.553800
Máximo,10,0.390200
Máximo,10,0.580100
Máximo,10,0.383900
Máximo,10,0.534800
Máximo,10,0.393600
Máximo,10,0.630400
Máximo,10,0.372500
Máximo,11,0.590000
Máximo,11,0.491600
Máximo,11,0.636100
Máximo,11,0.547500
Máximo,11,0.697300
Máximo,11,0.399700
Máximo,11,0.616200
Máximo,11,0.445300
Máximo,11,0.622100
Máximo,11,0.421100
Máximo,11,0.693900
Máximo,11,0.535100
Máximo,11,0.577000
Máximo,11,0.407100
Máximo,11,0.610800
Máximo,11,0.419000
Máximo,11,0.606900
Máximo,11,0.483500
Máximo,11,0.570100
Máximo,11,0.420400
Máximo,11,0.638800
Máximo,11,0.431000
Máximo,11,0.592500
Máximo,11,0.501000
Máximo,11,0.590600
Máximo,11,0.418700
Máximo,11,0.611100
Máximo,11,0.400900
Máximo,11,0.613300
Máximo,11,0.422200
Máximo,11,0.594100
Máximo,11,0.508700
Máximo,11,0.593600
Máximo,11,0.407900
Máximo,11,0.695800
Máximo,11,0.400500
Máximo,11,0.962500
Máximo,11,0.425900
Máximo,11,0.598400
Máximo,11,0.417800
Máximo,11,0.695600
Máximo,11,0.446200
Máximo,11,0.572800
Máximo,11,0.389800
Máximo,11,0.598800
Máximo,11,0.456200
Máximo,11,0.758900
Máximo,11,0.411100
Máximo,11,0.616900
Máximo,11,0.404900
Máximo,11,0.623300
Máximo,11,0.410700
Máximo,11,0.590000
Máximo,11,0.442600
Máximo,11,0.584200
Máximo,11,0.405600
Máximo,11,0.675500
Máximo,11,0.404600
Máximo,11,0.591200
Máximo,11,0.403000
Máximo,11,0.601100
Máximo,11,0.404900
Máximo,11,0.645100
Máximo,11,0.428100
Máximo,11,0.600100
Máximo,11,0.408600
Máximo,11,0.615800
Máximo,11,0.402200
Máximo,11,0.608300
Máximo,11,0.425300
Máximo,11,0.598300
Máximo,11,0.399900
Máximo,11,0.594800
Máximo,11,0.394400
Máximo,11,0.704700
Máximo,11,0.411500
Máximo,11,0.595900
Máximo,11,0.403700
Máximo,11,0.576300
Máximo,11,0.481300
Máximo,11,0.603600
Máximo,11,0.412000
Máximo,11,0.599500
Máximo,11,0.542400
Máximo,11,0.590400
Máximo,11,0.408000
Máximo,11,0.601700
Máximo,11,0.400900
Máximo,11,0.594400
Máximo,11,0.475600
Máximo,11,0.633900
Máximo,11,0.418600
